# RvB, Thu Jun 26 16:41:53 2025
#
# Atmospheric refraction angle calculation using 2-layer Cassini approximation with parameters: 
# Tobs =      14.41 [deg C] observatory ambient temperature
# Pobs =     744.70 [hPa] observatory ambient pressure
# PWV =      744.70 [mm] Precipitable Water Vapor column
# h0w =     2000.00 [m] assumed height of moist air layer
# z =         49.90 [deg] zenith angle
#
#       wavelength             angle
#         [micron]          [arcsec]
    1.00010340e+00    4.92869816e+01
    1.00031103e+00    4.92868655e+01
    1.00051871e+00    4.92867493e+01
    1.00072643e+00    4.92866333e+01
    1.00093420e+00    4.92865172e+01
    1.00114201e+00    4.92864013e+01
    1.00134986e+00    4.92862853e+01
    1.00155775e+00    4.92861694e+01
    1.00176569e+00    4.92860536e+01
    1.00197367e+00    4.92859378e+01
    1.00218169e+00    4.92858221e+01
    1.00238976e+00    4.92857064e+01
    1.00259787e+00    4.92855908e+01
    1.00280603e+00    4.92854752e+01
    1.00301422e+00    4.92853596e+01
    1.00322246e+00    4.92852441e+01
    1.00343075e+00    4.92851287e+01
    1.00363907e+00    4.92850133e+01
    1.00384744e+00    4.92848979e+01
    1.00405585e+00    4.92847826e+01
    1.00426431e+00    4.92846674e+01
    1.00447281e+00    4.92845522e+01
    1.00468135e+00    4.92844370e+01
    1.00488994e+00    4.92843219e+01
    1.00509857e+00    4.92842069e+01
    1.00530724e+00    4.92840919e+01
    1.00551596e+00    4.92839769e+01
    1.00572472e+00    4.92838620e+01
    1.00593352e+00    4.92837471e+01
    1.00614236e+00    4.92836323e+01
    1.00635125e+00    4.92835176e+01
    1.00656019e+00    4.92834029e+01
    1.00676916e+00    4.92832882e+01
    1.00697818e+00    4.92831736e+01
    1.00718725e+00    4.92830590e+01
    1.00739635e+00    4.92829445e+01
    1.00760550e+00    4.92828300e+01
    1.00781469e+00    4.92827156e+01
    1.00802393e+00    4.92826012e+01
    1.00823321e+00    4.92824869e+01
    1.00844253e+00    4.92823726e+01
    1.00865190e+00    4.92822583e+01
    1.00886131e+00    4.92821442e+01
    1.00907077e+00    4.92820300e+01
    1.00928026e+00    4.92819159e+01
    1.00948980e+00    4.92818019e+01
    1.00969939e+00    4.92816879e+01
    1.00990902e+00    4.92815740e+01
    1.01011869e+00    4.92814601e+01
    1.01032840e+00    4.92813462e+01
    1.01053816e+00    4.92812324e+01
