# RvB, Thu Jun 26 16:41:55 2025
#
# Atmospheric refraction angle calculation using 2-layer Cassini approximation with parameters: 
# Tobs =      14.41 [deg C] observatory ambient temperature
# Pobs =     744.70 [hPa] observatory ambient pressure
# PWV =      744.70 [mm] Precipitable Water Vapor column
# h0w =     2000.00 [m] assumed height of moist air layer
# z =         49.90 [deg] zenith angle
#
#       wavelength             angle
#         [micron]          [arcsec]
    1.00010340e+00    4.92773989e+01
    1.00031103e+00    4.92772827e+01
    1.00051871e+00    4.92771664e+01
    1.00072643e+00    4.92770502e+01
    1.00093420e+00    4.92769340e+01
    1.00114201e+00    4.92768179e+01
    1.00134986e+00    4.92767019e+01
    1.00155775e+00    4.92765859e+01
    1.00176569e+00    4.92764699e+01
    1.00197367e+00    4.92763540e+01
    1.00218169e+00    4.92762382e+01
    1.00238976e+00    4.92761224e+01
    1.00259787e+00    4.92760067e+01
    1.00280603e+00    4.92758909e+01
    1.00301422e+00    4.92757753e+01
    1.00322246e+00    4.92756597e+01
    1.00343075e+00    4.92755441e+01
    1.00363907e+00    4.92754286e+01
    1.00384744e+00    4.92753131e+01
    1.00405585e+00    4.92751977e+01
    1.00426431e+00    4.92750823e+01
    1.00447281e+00    4.92749670e+01
    1.00468135e+00    4.92748518e+01
    1.00488994e+00    4.92747365e+01
    1.00509857e+00    4.92746214e+01
    1.00530724e+00    4.92745062e+01
    1.00551596e+00    4.92743911e+01
    1.00572472e+00    4.92742762e+01
    1.00593352e+00    4.92741612e+01
    1.00614236e+00    4.92740462e+01
    1.00635125e+00    4.92739314e+01
    1.00656019e+00    4.92738165e+01
    1.00676916e+00    4.92737017e+01
    1.00697818e+00    4.92735870e+01
    1.00718725e+00    4.92734723e+01
    1.00739635e+00    4.92733577e+01
    1.00760550e+00    4.92732431e+01
    1.00781469e+00    4.92731285e+01
    1.00802393e+00    4.92730140e+01
    1.00823321e+00    4.92728996e+01
    1.00844253e+00    4.92727852e+01
    1.00865190e+00    4.92726708e+01
    1.00886131e+00    4.92725565e+01
    1.00907077e+00    4.92724423e+01
    1.00928026e+00    4.92723281e+01
    1.00948980e+00    4.92722139e+01
    1.00969939e+00    4.92720998e+01
    1.00990902e+00    4.92719858e+01
    1.01011869e+00    4.92718717e+01
    1.01032840e+00    4.92717578e+01
    1.01053816e+00    4.92716439e+01
    1.01074796e+00    4.92715300e+01
    1.01095781e+00    4.92714162e+01
    1.01116770e+00    4.92713024e+01
    1.01137763e+00    4.92711887e+01
    1.01158761e+00    4.92710750e+01
    1.01179763e+00    4.92709613e+01
    1.01200769e+00    4.92708478e+01
    1.01221780e+00    4.92707342e+01
    1.01242795e+00    4.92706208e+01
    1.01263814e+00    4.92705073e+01
    1.01284838e+00    4.92703939e+01
    1.01305866e+00    4.92702806e+01
    1.01326899e+00    4.92701673e+01
    1.01347936e+00    4.92700540e+01
    1.01368977e+00    4.92699408e+01
    1.01390022e+00    4.92698277e+01
    1.01411072e+00    4.92697146e+01
    1.01432127e+00    4.92696015e+01
    1.01453186e+00    4.92694885e+01
    1.01474249e+00    4.92693755e+01
    1.01495316e+00    4.92692626e+01
    1.01516388e+00    4.92691497e+01
    1.01537464e+00    4.92690369e+01
    1.01558545e+00    4.92689241e+01
    1.01579630e+00    4.92688114e+01
    1.01600719e+00    4.92686987e+01
    1.01621813e+00    4.92685861e+01
    1.01642911e+00    4.92684735e+01
    1.01664014e+00    4.92683610e+01
    1.01685121e+00    4.92682485e+01
    1.01706232e+00    4.92681361e+01
    1.01727347e+00    4.92680237e+01
    1.01748467e+00    4.92679113e+01
    1.01769592e+00    4.92677990e+01
    1.01790721e+00    4.92676868e+01
    1.01811854e+00    4.92675746e+01
    1.01832991e+00    4.92674624e+01
    1.01854133e+00    4.92673503e+01
    1.01875280e+00    4.92672382e+01
    1.01896431e+00    4.92671262e+01
    1.01917586e+00    4.92670142e+01
    1.01938745e+00    4.92669023e+01
    1.01959909e+00    4.92667905e+01
    1.01981077e+00    4.92666786e+01
    1.02002250e+00    4.92665668e+01
    1.02023427e+00    4.92664551e+01
    1.02044609e+00    4.92663434e+01
    1.02065795e+00    4.92662318e+01
