# RvB, Thu Jun 26 16:41:53 2025
#
# Atmospheric refraction angle calculation using 2-layer Cassini approximation with parameters: 
# Tobs =      14.41 [deg C] observatory ambient temperature
# Pobs =     744.70 [hPa] observatory ambient pressure
# PWV =      744.70 [mm] Precipitable Water Vapor column
# h0w =     2000.00 [m] assumed height of moist air layer
# z =         53.97 [deg] zenith angle
#
#       wavelength             angle
#         [micron]          [arcsec]
    1.00010340e+00    5.70330572e+01
    1.00031103e+00    5.70329228e+01
    1.00051871e+00    5.70327884e+01
    1.00072643e+00    5.70326541e+01
    1.00093420e+00    5.70325198e+01
    1.00114201e+00    5.70323856e+01
    1.00134986e+00    5.70322514e+01
    1.00155775e+00    5.70321173e+01
    1.00176569e+00    5.70319832e+01
    1.00197367e+00    5.70318493e+01
    1.00218169e+00    5.70317153e+01
    1.00238976e+00    5.70315815e+01
    1.00259787e+00    5.70314476e+01
    1.00280603e+00    5.70313139e+01
    1.00301422e+00    5.70311802e+01
    1.00322246e+00    5.70310465e+01
    1.00343075e+00    5.70309129e+01
    1.00363907e+00    5.70307794e+01
    1.00384744e+00    5.70306459e+01
    1.00405585e+00    5.70305125e+01
    1.00426431e+00    5.70303791e+01
    1.00447281e+00    5.70302458e+01
    1.00468135e+00    5.70301125e+01
    1.00488994e+00    5.70299793e+01
    1.00509857e+00    5.70298462e+01
    1.00530724e+00    5.70297131e+01
    1.00551596e+00    5.70295801e+01
    1.00572472e+00    5.70294471e+01
    1.00593352e+00    5.70293142e+01
    1.00614236e+00    5.70291813e+01
    1.00635125e+00    5.70290485e+01
    1.00656019e+00    5.70289158e+01
    1.00676916e+00    5.70287831e+01
    1.00697818e+00    5.70286504e+01
    1.00718725e+00    5.70285178e+01
    1.00739635e+00    5.70283853e+01
    1.00760550e+00    5.70282528e+01
    1.00781469e+00    5.70281204e+01
    1.00802393e+00    5.70279881e+01
    1.00823321e+00    5.70278558e+01
    1.00844253e+00    5.70277235e+01
    1.00865190e+00    5.70275913e+01
    1.00886131e+00    5.70274592e+01
    1.00907077e+00    5.70273271e+01
    1.00928026e+00    5.70271951e+01
    1.00948980e+00    5.70270631e+01
    1.00969939e+00    5.70269312e+01
    1.00990902e+00    5.70267993e+01
    1.01011869e+00    5.70266675e+01
    1.01032840e+00    5.70265358e+01
    1.01053816e+00    5.70264041e+01
    1.01074796e+00    5.70262725e+01
    1.01095781e+00    5.70261409e+01
    1.01116770e+00    5.70260093e+01
    1.01137763e+00    5.70258779e+01
    1.01158761e+00    5.70257465e+01
    1.01179763e+00    5.70256151e+01
    1.01200769e+00    5.70254838e+01
    1.01221780e+00    5.70253525e+01
    1.01242795e+00    5.70252214e+01
    1.01263814e+00    5.70250902e+01
    1.01284838e+00    5.70249591e+01
    1.01305866e+00    5.70248281e+01
    1.01326899e+00    5.70246971e+01
    1.01347936e+00    5.70245662e+01
    1.01368977e+00    5.70244354e+01
    1.01390022e+00    5.70243045e+01
    1.01411072e+00    5.70241738e+01
    1.01432127e+00    5.70240431e+01
    1.01453186e+00    5.70239125e+01
    1.01474249e+00    5.70237819e+01
    1.01495316e+00    5.70236513e+01
    1.01516388e+00    5.70235209e+01
    1.01537464e+00    5.70233904e+01
    1.01558545e+00    5.70232601e+01
    1.01579630e+00    5.70231298e+01
    1.01600719e+00    5.70229995e+01
    1.01621813e+00    5.70228693e+01
    1.01642911e+00    5.70227392e+01
    1.01664014e+00    5.70226091e+01
    1.01685121e+00    5.70224790e+01
    1.01706232e+00    5.70223490e+01
    1.01727347e+00    5.70222191e+01
    1.01748467e+00    5.70220892e+01
    1.01769592e+00    5.70219594e+01
    1.01790721e+00    5.70218297e+01
    1.01811854e+00    5.70217000e+01
    1.01832991e+00    5.70215703e+01
    1.01854133e+00    5.70214407e+01
    1.01875280e+00    5.70213112e+01
    1.01896431e+00    5.70211817e+01
    1.01917586e+00    5.70210522e+01
    1.01938745e+00    5.70209228e+01
    1.01959909e+00    5.70207935e+01
    1.01981077e+00    5.70206643e+01
    1.02002250e+00    5.70205350e+01
    1.02023427e+00    5.70204059e+01
    1.02044609e+00    5.70202768e+01
    1.02065795e+00    5.70201477e+01
    1.02086985e+00    5.70200187e+01
    1.02108180e+00    5.70198898e+01
    1.02129379e+00    5.70197609e+01
    1.02150582e+00    5.70196320e+01
    1.02171790e+00    5.70195032e+01
    1.02193002e+00    5.70193745e+01
    1.02214219e+00    5.70192458e+01
    1.02235440e+00    5.70191172e+01
    1.02256666e+00    5.70189887e+01
    1.02277896e+00    5.70188601e+01
    1.02299130e+00    5.70187317e+01
    1.02320369e+00    5.70186033e+01
    1.02341612e+00    5.70184749e+01
    1.02362860e+00    5.70183466e+01
    1.02384112e+00    5.70182184e+01
    1.02405368e+00    5.70180902e+01
    1.02426629e+00    5.70179621e+01
    1.02447894e+00    5.70178340e+01
    1.02469164e+00    5.70177060e+01
    1.02490438e+00    5.70175780e+01
    1.02511716e+00    5.70174501e+01
    1.02532999e+00    5.70173222e+01
    1.02554286e+00    5.70171944e+01
    1.02575578e+00    5.70170667e+01
    1.02596874e+00    5.70169390e+01
    1.02618175e+00    5.70168113e+01
    1.02639480e+00    5.70166837e+01
    1.02660789e+00    5.70165562e+01
    1.02682103e+00    5.70164287e+01
    1.02703421e+00    5.70163012e+01
    1.02724744e+00    5.70161739e+01
    1.02746071e+00    5.70160465e+01
    1.02767402e+00    5.70159193e+01
    1.02788738e+00    5.70157921e+01
    1.02810079e+00    5.70156649e+01
    1.02831424e+00    5.70155378e+01
    1.02852773e+00    5.70154107e+01
    1.02874127e+00    5.70152837e+01
    1.02895485e+00    5.70151568e+01
    1.02916847e+00    5.70150299e+01
    1.02938214e+00    5.70149030e+01
    1.02959586e+00    5.70147762e+01
    1.02980962e+00    5.70146495e+01
    1.03002342e+00    5.70145228e+01
    1.03023727e+00    5.70143962e+01
    1.03045116e+00    5.70142696e+01
    1.03066509e+00    5.70141431e+01
    1.03087907e+00    5.70140166e+01
    1.03109310e+00    5.70138902e+01
    1.03130717e+00    5.70137638e+01
    1.03152128e+00    5.70136375e+01
    1.03173544e+00    5.70135113e+01
    1.03194964e+00    5.70133851e+01
    1.03216389e+00    5.70132589e+01
    1.03237818e+00    5.70131328e+01
    1.03259252e+00    5.70130068e+01
    1.03280690e+00    5.70128808e+01
    1.03302133e+00    5.70127548e+01
