# RvB, Thu Jun 26 16:41:54 2025
#
# Atmospheric refraction angle calculation using 2-layer Cassini approximation with parameters: 
# Tobs =      14.41 [deg C] observatory ambient temperature
# Pobs =     744.70 [hPa] observatory ambient pressure
# PWV =      744.70 [mm] Precipitable Water Vapor column
# h0w =     2000.00 [m] assumed height of moist air layer
# z =         53.97 [deg] zenith angle
#
#       wavelength             angle
#         [micron]          [arcsec]
    1.00010340e+00    5.70230686e+01
    1.00031103e+00    5.70229341e+01
    1.00051871e+00    5.70227996e+01
    1.00072643e+00    5.70226651e+01
    1.00093420e+00    5.70225307e+01
    1.00114201e+00    5.70223964e+01
    1.00134986e+00    5.70222621e+01
    1.00155775e+00    5.70221279e+01
    1.00176569e+00    5.70219937e+01
    1.00197367e+00    5.70218596e+01
    1.00218169e+00    5.70217256e+01
    1.00238976e+00    5.70215916e+01
    1.00259787e+00    5.70214576e+01
    1.00280603e+00    5.70213237e+01
    1.00301422e+00    5.70211899e+01
    1.00322246e+00    5.70210561e+01
    1.00343075e+00    5.70209224e+01
    1.00363907e+00    5.70207888e+01
    1.00384744e+00    5.70206551e+01
    1.00405585e+00    5.70205216e+01
    1.00426431e+00    5.70203881e+01
    1.00447281e+00    5.70202547e+01
    1.00468135e+00    5.70201213e+01
    1.00488994e+00    5.70199880e+01
    1.00509857e+00    5.70198547e+01
    1.00530724e+00    5.70197215e+01
    1.00551596e+00    5.70195883e+01
    1.00572472e+00    5.70194553e+01
    1.00593352e+00    5.70193222e+01
    1.00614236e+00    5.70191892e+01
    1.00635125e+00    5.70190563e+01
    1.00656019e+00    5.70189234e+01
    1.00676916e+00    5.70187906e+01
    1.00697818e+00    5.70186578e+01
    1.00718725e+00    5.70185251e+01
    1.00739635e+00    5.70183925e+01
    1.00760550e+00    5.70182599e+01
    1.00781469e+00    5.70181273e+01
    1.00802393e+00    5.70179949e+01
    1.00823321e+00    5.70178625e+01
    1.00844253e+00    5.70177301e+01
    1.00865190e+00    5.70175978e+01
    1.00886131e+00    5.70174655e+01
    1.00907077e+00    5.70173333e+01
    1.00928026e+00    5.70172011e+01
    1.00948980e+00    5.70170690e+01
    1.00969939e+00    5.70169370e+01
    1.00990902e+00    5.70168051e+01
    1.01011869e+00    5.70166731e+01
    1.01032840e+00    5.70165413e+01
    1.01053816e+00    5.70164094e+01
    1.01074796e+00    5.70162777e+01
    1.01095781e+00    5.70161460e+01
    1.01116770e+00    5.70160143e+01
    1.01137763e+00    5.70158827e+01
    1.01158761e+00    5.70157512e+01
    1.01179763e+00    5.70156197e+01
    1.01200769e+00    5.70154883e+01
    1.01221780e+00    5.70153569e+01
    1.01242795e+00    5.70152256e+01
    1.01263814e+00    5.70150943e+01
    1.01284838e+00    5.70149631e+01
    1.01305866e+00    5.70148320e+01
    1.01326899e+00    5.70147009e+01
    1.01347936e+00    5.70145698e+01
    1.01368977e+00    5.70144389e+01
    1.01390022e+00    5.70143079e+01
    1.01411072e+00    5.70141770e+01
    1.01432127e+00    5.70140462e+01
    1.01453186e+00    5.70139155e+01
    1.01474249e+00    5.70137847e+01
    1.01495316e+00    5.70136541e+01
    1.01516388e+00    5.70135235e+01
    1.01537464e+00    5.70133929e+01
    1.01558545e+00    5.70132625e+01
    1.01579630e+00    5.70131320e+01
    1.01600719e+00    5.70130017e+01
    1.01621813e+00    5.70128713e+01
