# RvB, Thu Jun 26 16:41:54 2025
#
# Atmospheric refraction angle calculation using 2-layer Cassini approximation with parameters: 
# Tobs =      14.41 [deg C] observatory ambient temperature
# Pobs =     744.70 [hPa] observatory ambient pressure
# PWV =      744.70 [mm] Precipitable Water Vapor column
# h0w =     2000.00 [m] assumed height of moist air layer
# z =         39.72 [deg] zenith angle
#
#       wavelength             angle
#         [micron]          [arcsec]
    1.00010340e+00    3.45072771e+01
    1.00031103e+00    3.45071957e+01
    1.00051871e+00    3.45071144e+01
    1.00072643e+00    3.45070331e+01
    1.00093420e+00    3.45069518e+01
    1.00114201e+00    3.45068705e+01
    1.00134986e+00    3.45067893e+01
    1.00155775e+00    3.45067082e+01
    1.00176569e+00    3.45066270e+01
    1.00197367e+00    3.45065459e+01
    1.00218169e+00    3.45064648e+01
    1.00238976e+00    3.45063838e+01
    1.00259787e+00    3.45063028e+01
    1.00280603e+00    3.45062218e+01
    1.00301422e+00    3.45061409e+01
    1.00322246e+00    3.45060600e+01
    1.00343075e+00    3.45059791e+01
    1.00363907e+00    3.45058983e+01
    1.00384744e+00    3.45058175e+01
    1.00405585e+00    3.45057367e+01
    1.00426431e+00    3.45056560e+01
    1.00447281e+00    3.45055753e+01
    1.00468135e+00    3.45054946e+01
    1.00488994e+00    3.45054140e+01
    1.00509857e+00    3.45053334e+01
    1.00530724e+00    3.45052528e+01
    1.00551596e+00    3.45051723e+01
    1.00572472e+00    3.45050918e+01
    1.00593352e+00    3.45050113e+01
    1.00614236e+00    3.45049309e+01
    1.00635125e+00    3.45048505e+01
    1.00656019e+00    3.45047702e+01
    1.00676916e+00    3.45046898e+01
    1.00697818e+00    3.45046095e+01
    1.00718725e+00    3.45045293e+01
    1.00739635e+00    3.45044491e+01
    1.00760550e+00    3.45043689e+01
    1.00781469e+00    3.45042887e+01
    1.00802393e+00    3.45042086e+01
    1.00823321e+00    3.45041285e+01
    1.00844253e+00    3.45040484e+01
