# RvB, Thu Jun 26 16:41:55 2025
#
# Atmospheric refraction angle calculation using 2-layer Cassini approximation with parameters: 
# Tobs =      14.41 [deg C] observatory ambient temperature
# Pobs =     744.70 [hPa] observatory ambient pressure
# PWV =      744.70 [mm] Precipitable Water Vapor column
# h0w =     2000.00 [m] assumed height of moist air layer
# z =         39.72 [deg] zenith angle
#
#       wavelength             angle
#         [micron]          [arcsec]
    1.00010340e+00    3.45032565e+01
    1.00031103e+00    3.45031751e+01
    1.00051871e+00    3.45030937e+01
    1.00072643e+00    3.45030123e+01
    1.00093420e+00    3.45029310e+01
    1.00114201e+00    3.45028497e+01
    1.00134986e+00    3.45027684e+01
    1.00155775e+00    3.45026872e+01
    1.00176569e+00    3.45026060e+01
    1.00197367e+00    3.45025248e+01
    1.00218169e+00    3.45024437e+01
    1.00238976e+00    3.45023626e+01
    1.00259787e+00    3.45022816e+01
    1.00280603e+00    3.45022006e+01
    1.00301422e+00    3.45021196e+01
    1.00322246e+00    3.45020386e+01
    1.00343075e+00    3.45019577e+01
    1.00363907e+00    3.45018768e+01
    1.00384744e+00    3.45017960e+01
    1.00405585e+00    3.45017152e+01
    1.00426431e+00    3.45016344e+01
    1.00447281e+00    3.45015536e+01
    1.00468135e+00    3.45014729e+01
    1.00488994e+00    3.45013922e+01
    1.00509857e+00    3.45013116e+01
    1.00530724e+00    3.45012310e+01
    1.00551596e+00    3.45011504e+01
    1.00572472e+00    3.45010699e+01
    1.00593352e+00    3.45009894e+01
    1.00614236e+00    3.45009089e+01
    1.00635125e+00    3.45008284e+01
    1.00656019e+00    3.45007480e+01
    1.00676916e+00    3.45006677e+01
    1.00697818e+00    3.45005873e+01
    1.00718725e+00    3.45005070e+01
    1.00739635e+00    3.45004267e+01
    1.00760550e+00    3.45003465e+01
    1.00781469e+00    3.45002663e+01
    1.00802393e+00    3.45001861e+01
    1.00823321e+00    3.45001060e+01
    1.00844253e+00    3.45000259e+01
    1.00865190e+00    3.44999458e+01
    1.00886131e+00    3.44998658e+01
    1.00907077e+00    3.44997858e+01
    1.00928026e+00    3.44997058e+01
    1.00948980e+00    3.44996258e+01
    1.00969939e+00    3.44995460e+01
    1.00990902e+00    3.44994661e+01
    1.01011869e+00    3.44993863e+01
    1.01032840e+00    3.44993065e+01
    1.01053816e+00    3.44992267e+01
    1.01074796e+00    3.44991470e+01
    1.01095781e+00    3.44990673e+01
    1.01116770e+00    3.44989876e+01
    1.01137763e+00    3.44989080e+01
    1.01158761e+00    3.44988283e+01
    1.01179763e+00    3.44987488e+01
    1.01200769e+00    3.44986692e+01
    1.01221780e+00    3.44985898e+01
    1.01242795e+00    3.44985103e+01
    1.01263814e+00    3.44984309e+01
    1.01284838e+00    3.44983515e+01
    1.01305866e+00    3.44982721e+01
    1.01326899e+00    3.44981928e+01
    1.01347936e+00    3.44981135e+01
    1.01368977e+00    3.44980342e+01
    1.01390022e+00    3.44979550e+01
    1.01411072e+00    3.44978758e+01
    1.01432127e+00    3.44977966e+01
    1.01453186e+00    3.44977175e+01
    1.01474249e+00    3.44976384e+01
    1.01495316e+00    3.44975593e+01
    1.01516388e+00    3.44974803e+01
    1.01537464e+00    3.44974013e+01
    1.01558545e+00    3.44973223e+01
    1.01579630e+00    3.44972434e+01
    1.01600719e+00    3.44971645e+01
    1.01621813e+00    3.44970856e+01
    1.01642911e+00    3.44970068e+01
    1.01664014e+00    3.44969280e+01
    1.01685121e+00    3.44968492e+01
    1.01706232e+00    3.44967705e+01
    1.01727347e+00    3.44966918e+01
    1.01748467e+00    3.44966131e+01
    1.01769592e+00    3.44965345e+01
    1.01790721e+00    3.44964559e+01
    1.01811854e+00    3.44963773e+01
    1.01832991e+00    3.44962988e+01
    1.01854133e+00    3.44962202e+01
    1.01875280e+00    3.44961418e+01
    1.01896431e+00    3.44960633e+01
    1.01917586e+00    3.44959849e+01
    1.01938745e+00    3.44959066e+01
    1.01959909e+00    3.44958282e+01
    1.01981077e+00    3.44957499e+01
    1.02002250e+00    3.44956717e+01
    1.02023427e+00    3.44955934e+01
    1.02044609e+00    3.44955152e+01
    1.02065795e+00    3.44954370e+01
    1.02086985e+00    3.44953589e+01
    1.02108180e+00    3.44952808e+01
    1.02129379e+00    3.44952027e+01
    1.02150582e+00    3.44951247e+01
    1.02171790e+00    3.44950467e+01
    1.02193002e+00    3.44949687e+01
    1.02214219e+00    3.44948907e+01
    1.02235440e+00    3.44948128e+01
    1.02256666e+00    3.44947350e+01
    1.02277896e+00    3.44946571e+01
    1.02299130e+00    3.44945793e+01
    1.02320369e+00    3.44945015e+01
    1.02341612e+00    3.44944238e+01
    1.02362860e+00    3.44943461e+01
    1.02384112e+00    3.44942684e+01
    1.02405368e+00    3.44941908e+01
    1.02426629e+00    3.44941131e+01
    1.02447894e+00    3.44940355e+01
    1.02469164e+00    3.44939580e+01
    1.02490438e+00    3.44938805e+01
    1.02511716e+00    3.44938030e+01
    1.02532999e+00    3.44937255e+01
    1.02554286e+00    3.44936481e+01
    1.02575578e+00    3.44935707e+01
    1.02596874e+00    3.44934934e+01
    1.02618175e+00    3.44934160e+01
    1.02639480e+00    3.44933388e+01
    1.02660789e+00    3.44932615e+01
    1.02682103e+00    3.44931843e+01
    1.02703421e+00    3.44931071e+01
    1.02724744e+00    3.44930299e+01
    1.02746071e+00    3.44929528e+01
    1.02767402e+00    3.44928757e+01
    1.02788738e+00    3.44927986e+01
    1.02810079e+00    3.44927216e+01
    1.02831424e+00    3.44926446e+01
    1.02852773e+00    3.44925676e+01
    1.02874127e+00    3.44924907e+01
    1.02895485e+00    3.44924138e+01
    1.02916847e+00    3.44923369e+01
    1.02938214e+00    3.44922601e+01
    1.02959586e+00    3.44921833e+01
    1.02980962e+00    3.44921065e+01
    1.03002342e+00    3.44920298e+01
    1.03023727e+00    3.44919531e+01
    1.03045116e+00    3.44918764e+01
    1.03066509e+00    3.44917997e+01
    1.03087907e+00    3.44917231e+01
    1.03109310e+00    3.44916466e+01
    1.03130717e+00    3.44915700e+01
    1.03152128e+00    3.44914935e+01
    1.03173544e+00    3.44914170e+01
    1.03194964e+00    3.44913406e+01
    1.03216389e+00    3.44912641e+01
    1.03237818e+00    3.44911878e+01
