# RvB, Thu Jun 26 16:41:54 2025
#
# Atmospheric refraction angle calculation using 2-layer Cassini approximation with parameters: 
# Tobs =      14.41 [deg C] observatory ambient temperature
# Pobs =     744.70 [hPa] observatory ambient pressure
# PWV =      744.70 [mm] Precipitable Water Vapor column
# h0w =     2000.00 [m] assumed height of moist air layer
# z =         49.90 [deg] zenith angle
#
#       wavelength             angle
#         [micron]          [arcsec]
    1.00010340e+00    4.92860234e+01
    1.00031103e+00    4.92859072e+01
    1.00051871e+00    4.92857911e+01
    1.00072643e+00    4.92856750e+01
    1.00093420e+00    4.92855589e+01
    1.00114201e+00    4.92854429e+01
    1.00134986e+00    4.92853270e+01
    1.00155775e+00    4.92852111e+01
    1.00176569e+00    4.92850952e+01
    1.00197367e+00    4.92849794e+01
    1.00218169e+00    4.92848637e+01
    1.00238976e+00    4.92847480e+01
    1.00259787e+00    4.92846324e+01
    1.00280603e+00    4.92845167e+01
    1.00301422e+00    4.92844012e+01
    1.00322246e+00    4.92842857e+01
    1.00343075e+00    4.92841702e+01
    1.00363907e+00    4.92840548e+01
    1.00384744e+00    4.92839395e+01
    1.00405585e+00    4.92838242e+01
    1.00426431e+00    4.92837089e+01
    1.00447281e+00    4.92835937e+01
    1.00468135e+00    4.92834785e+01
    1.00488994e+00    4.92833634e+01
    1.00509857e+00    4.92832483e+01
    1.00530724e+00    4.92831333e+01
    1.00551596e+00    4.92830183e+01
    1.00572472e+00    4.92829034e+01
    1.00593352e+00    4.92827886e+01
    1.00614236e+00    4.92826737e+01
    1.00635125e+00    4.92825589e+01
    1.00656019e+00    4.92824442e+01
    1.00676916e+00    4.92823295e+01
    1.00697818e+00    4.92822149e+01
    1.00718725e+00    4.92821003e+01
    1.00739635e+00    4.92819858e+01
    1.00760550e+00    4.92818713e+01
    1.00781469e+00    4.92817569e+01
    1.00802393e+00    4.92816425e+01
    1.00823321e+00    4.92815281e+01
    1.00844253e+00    4.92814138e+01
    1.00865190e+00    4.92812996e+01
    1.00886131e+00    4.92811854e+01
    1.00907077e+00    4.92810713e+01
    1.00928026e+00    4.92809571e+01
    1.00948980e+00    4.92808431e+01
    1.00969939e+00    4.92807291e+01
    1.00990902e+00    4.92806151e+01
    1.01011869e+00    4.92805012e+01
    1.01032840e+00    4.92803874e+01
    1.01053816e+00    4.92802736e+01
    1.01074796e+00    4.92801598e+01
    1.01095781e+00    4.92800461e+01
    1.01116770e+00    4.92799324e+01
    1.01137763e+00    4.92798188e+01
    1.01158761e+00    4.92797052e+01
    1.01179763e+00    4.92795917e+01
    1.01200769e+00    4.92794782e+01
    1.01221780e+00    4.92793648e+01
    1.01242795e+00    4.92792514e+01
    1.01263814e+00    4.92791381e+01
    1.01284838e+00    4.92790248e+01
    1.01305866e+00    4.92789115e+01
    1.01326899e+00    4.92787984e+01
    1.01347936e+00    4.92786852e+01
    1.01368977e+00    4.92785721e+01
    1.01390022e+00    4.92784591e+01
    1.01411072e+00    4.92783461e+01
    1.01432127e+00    4.92782331e+01
    1.01453186e+00    4.92781202e+01
    1.01474249e+00    4.92780074e+01
    1.01495316e+00    4.92778945e+01
    1.01516388e+00    4.92777818e+01
    1.01537464e+00    4.92776691e+01
    1.01558545e+00    4.92775564e+01
    1.01579630e+00    4.92774438e+01
    1.01600719e+00    4.92773312e+01
    1.01621813e+00    4.92772187e+01
    1.01642911e+00    4.92771062e+01
    1.01664014e+00    4.92769938e+01
    1.01685121e+00    4.92768814e+01
    1.01706232e+00    4.92767691e+01
    1.01727347e+00    4.92766568e+01
    1.01748467e+00    4.92765445e+01
    1.01769592e+00    4.92764323e+01
    1.01790721e+00    4.92763202e+01
    1.01811854e+00    4.92762081e+01
    1.01832991e+00    4.92760960e+01
    1.01854133e+00    4.92759840e+01
    1.01875280e+00    4.92758721e+01
    1.01896431e+00    4.92757602e+01
    1.01917586e+00    4.92756483e+01
    1.01938745e+00    4.92755365e+01
    1.01959909e+00    4.92754247e+01
    1.01981077e+00    4.92753130e+01
    1.02002250e+00    4.92752013e+01
    1.02023427e+00    4.92750897e+01
    1.02044609e+00    4.92749781e+01
    1.02065795e+00    4.92748666e+01
    1.02086985e+00    4.92747551e+01
    1.02108180e+00    4.92746437e+01
    1.02129379e+00    4.92745323e+01
    1.02150582e+00    4.92744209e+01
    1.02171790e+00    4.92743096e+01
    1.02193002e+00    4.92741984e+01
    1.02214219e+00    4.92740872e+01
    1.02235440e+00    4.92739760e+01
    1.02256666e+00    4.92738649e+01
    1.02277896e+00    4.92737538e+01
    1.02299130e+00    4.92736428e+01
    1.02320369e+00    4.92735319e+01
    1.02341612e+00    4.92734209e+01
    1.02362860e+00    4.92733100e+01
    1.02384112e+00    4.92731992e+01
    1.02405368e+00    4.92730884e+01
    1.02426629e+00    4.92729777e+01
    1.02447894e+00    4.92728670e+01
    1.02469164e+00    4.92727564e+01
    1.02490438e+00    4.92726458e+01
    1.02511716e+00    4.92725352e+01
