# RvB, Thu Jun 26 16:41:54 2025
#
# Atmospheric refraction angle calculation using 2-layer Cassini approximation with parameters: 
# Tobs =      14.41 [deg C] observatory ambient temperature
# Pobs =     744.70 [hPa] observatory ambient pressure
# PWV =      744.70 [mm] Precipitable Water Vapor column
# h0w =     2000.00 [m] assumed height of moist air layer
# z =         41.75 [deg] zenith angle
#
#       wavelength             angle
#         [micron]          [arcsec]
    1.00010340e+00    3.70736814e+01
    1.00031103e+00    3.70735940e+01
    1.00051871e+00    3.70735066e+01
    1.00072643e+00    3.70734192e+01
    1.00093420e+00    3.70733318e+01
    1.00114201e+00    3.70732445e+01
    1.00134986e+00    3.70731573e+01
    1.00155775e+00    3.70730701e+01
    1.00176569e+00    3.70729829e+01
    1.00197367e+00    3.70728957e+01
    1.00218169e+00    3.70728086e+01
    1.00238976e+00    3.70727215e+01
    1.00259787e+00    3.70726345e+01
    1.00280603e+00    3.70725475e+01
    1.00301422e+00    3.70724605e+01
    1.00322246e+00    3.70723736e+01
    1.00343075e+00    3.70722867e+01
    1.00363907e+00    3.70721998e+01
    1.00384744e+00    3.70721130e+01
    1.00405585e+00    3.70720262e+01
    1.00426431e+00    3.70719395e+01
    1.00447281e+00    3.70718528e+01
    1.00468135e+00    3.70717661e+01
    1.00488994e+00    3.70716795e+01
    1.00509857e+00    3.70715929e+01
    1.00530724e+00    3.70715063e+01
    1.00551596e+00    3.70714198e+01
    1.00572472e+00    3.70713333e+01
    1.00593352e+00    3.70712468e+01
    1.00614236e+00    3.70711604e+01
    1.00635125e+00    3.70710740e+01
    1.00656019e+00    3.70709877e+01
    1.00676916e+00    3.70709014e+01
    1.00697818e+00    3.70708151e+01
    1.00718725e+00    3.70707288e+01
    1.00739635e+00    3.70706426e+01
    1.00760550e+00    3.70705565e+01
    1.00781469e+00    3.70704703e+01
    1.00802393e+00    3.70703842e+01
    1.00823321e+00    3.70702982e+01
    1.00844253e+00    3.70702122e+01
    1.00865190e+00    3.70701262e+01
    1.00886131e+00    3.70700402e+01
    1.00907077e+00    3.70699543e+01
    1.00928026e+00    3.70698685e+01
    1.00948980e+00    3.70697826e+01
    1.00969939e+00    3.70696968e+01
    1.00990902e+00    3.70696111e+01
    1.01011869e+00    3.70695253e+01
    1.01032840e+00    3.70694396e+01
    1.01053816e+00    3.70693540e+01
    1.01074796e+00    3.70692683e+01
    1.01095781e+00    3.70691828e+01
    1.01116770e+00    3.70690972e+01
    1.01137763e+00    3.70690117e+01
    1.01158761e+00    3.70689262e+01
    1.01179763e+00    3.70688408e+01
    1.01200769e+00    3.70687554e+01
    1.01221780e+00    3.70686700e+01
    1.01242795e+00    3.70685847e+01
    1.01263814e+00    3.70684994e+01
    1.01284838e+00    3.70684141e+01
    1.01305866e+00    3.70683289e+01
    1.01326899e+00    3.70682437e+01
    1.01347936e+00    3.70681585e+01
    1.01368977e+00    3.70680734e+01
    1.01390022e+00    3.70679883e+01
    1.01411072e+00    3.70679033e+01
    1.01432127e+00    3.70678183e+01
    1.01453186e+00    3.70677333e+01
    1.01474249e+00    3.70676483e+01
    1.01495316e+00    3.70675634e+01
    1.01516388e+00    3.70674786e+01
    1.01537464e+00    3.70673937e+01
    1.01558545e+00    3.70673089e+01
    1.01579630e+00    3.70672242e+01
    1.01600719e+00    3.70671395e+01
    1.01621813e+00    3.70670548e+01
    1.01642911e+00    3.70669701e+01
    1.01664014e+00    3.70668855e+01
    1.01685121e+00    3.70668009e+01
    1.01706232e+00    3.70667164e+01
    1.01727347e+00    3.70666318e+01
    1.01748467e+00    3.70665474e+01
    1.01769592e+00    3.70664629e+01
    1.01790721e+00    3.70663785e+01
    1.01811854e+00    3.70662942e+01
    1.01832991e+00    3.70662098e+01
    1.01854133e+00    3.70661255e+01
    1.01875280e+00    3.70660413e+01
    1.01896431e+00    3.70659570e+01
    1.01917586e+00    3.70658728e+01
    1.01938745e+00    3.70657887e+01
    1.01959909e+00    3.70657046e+01
    1.01981077e+00    3.70656205e+01
    1.02002250e+00    3.70655364e+01
    1.02023427e+00    3.70654524e+01
    1.02044609e+00    3.70653684e+01
    1.02065795e+00    3.70652845e+01
    1.02086985e+00    3.70652006e+01
    1.02108180e+00    3.70651167e+01
    1.02129379e+00    3.70650329e+01
    1.02150582e+00    3.70649491e+01
    1.02171790e+00    3.70648653e+01
    1.02193002e+00    3.70647816e+01
    1.02214219e+00    3.70646979e+01
    1.02235440e+00    3.70646142e+01
    1.02256666e+00    3.70645306e+01
    1.02277896e+00    3.70644470e+01
    1.02299130e+00    3.70643634e+01
    1.02320369e+00    3.70642799e+01
    1.02341612e+00    3.70641964e+01
    1.02362860e+00    3.70641130e+01
    1.02384112e+00    3.70640295e+01
    1.02405368e+00    3.70639462e+01
    1.02426629e+00    3.70638628e+01
    1.02447894e+00    3.70637795e+01
    1.02469164e+00    3.70636962e+01
    1.02490438e+00    3.70636130e+01
    1.02511716e+00    3.70635298e+01
    1.02532999e+00    3.70634466e+01
    1.02554286e+00    3.70633635e+01
    1.02575578e+00    3.70632804e+01
    1.02596874e+00    3.70631973e+01
    1.02618175e+00    3.70631143e+01
    1.02639480e+00    3.70630313e+01
    1.02660789e+00    3.70629483e+01
    1.02682103e+00    3.70628654e+01
    1.02703421e+00    3.70627825e+01
    1.02724744e+00    3.70626996e+01
    1.02746071e+00    3.70626168e+01
    1.02767402e+00    3.70625340e+01
    1.02788738e+00    3.70624513e+01
    1.02810079e+00    3.70623686e+01
    1.02831424e+00    3.70622859e+01
    1.02852773e+00    3.70622032e+01
    1.02874127e+00    3.70621206e+01
    1.02895485e+00    3.70620381e+01
    1.02916847e+00    3.70619555e+01
    1.02938214e+00    3.70618730e+01
    1.02959586e+00    3.70617905e+01
    1.02980962e+00    3.70617081e+01
    1.03002342e+00    3.70616257e+01
    1.03023727e+00    3.70615433e+01
    1.03045116e+00    3.70614610e+01
    1.03066509e+00    3.70613787e+01
    1.03087907e+00    3.70612964e+01
    1.03109310e+00    3.70612142e+01
    1.03130717e+00    3.70611320e+01
    1.03152128e+00    3.70610498e+01
    1.03173544e+00    3.70609677e+01
    1.03194964e+00    3.70608856e+01
    1.03216389e+00    3.70608035e+01
    1.03237818e+00    3.70607215e+01
    1.03259252e+00    3.70606395e+01
    1.03280690e+00    3.70605576e+01
    1.03302133e+00    3.70604756e+01
    1.03323580e+00    3.70603938e+01
    1.03345031e+00    3.70603119e+01
    1.03366487e+00    3.70602301e+01
    1.03387947e+00    3.70601483e+01
    1.03409412e+00    3.70600666e+01
    1.03430881e+00    3.70599848e+01
    1.03452355e+00    3.70599032e+01
    1.03473833e+00    3.70598215e+01
    1.03495316e+00    3.70597399e+01
    1.03516803e+00    3.70596583e+01
    1.03538294e+00    3.70595768e+01
    1.03559790e+00    3.70594953e+01
    1.03581291e+00    3.70594138e+01
    1.03602796e+00    3.70593324e+01
    1.03624305e+00    3.70592510e+01
    1.03645819e+00    3.70591696e+01
    1.03667337e+00    3.70590883e+01
    1.03688860e+00    3.70590070e+01
    1.03710388e+00    3.70589257e+01
    1.03731919e+00    3.70588445e+01
    1.03753456e+00    3.70587633e+01
    1.03774996e+00    3.70586821e+01
    1.03796541e+00    3.70586010e+01
    1.03818091e+00    3.70585199e+01
    1.03839645e+00    3.70584388e+01
    1.03861204e+00    3.70583578e+01
    1.03882767e+00    3.70582768e+01
    1.03904334e+00    3.70581958e+01
    1.03925906e+00    3.70581149e+01
    1.03947483e+00    3.70580340e+01
    1.03969064e+00    3.70579531e+01
    1.03990649e+00    3.70578723e+01
    1.04012239e+00    3.70577915e+01
    1.04033833e+00    3.70577107e+01
    1.04055432e+00    3.70576300e+01
    1.04077036e+00    3.70575493e+01
    1.04098644e+00    3.70574687e+01
    1.04120256e+00    3.70573881e+01
    1.04141873e+00    3.70573075e+01
    1.04163494e+00    3.70572269e+01
    1.04185120e+00    3.70571464e+01
    1.04206750e+00    3.70570659e+01
    1.04228385e+00    3.70569855e+01
    1.04250024e+00    3.70569050e+01
    1.04271668e+00    3.70568247e+01
    1.04293316e+00    3.70567443e+01
    1.04314969e+00    3.70566640e+01
    1.04336626e+00    3.70565837e+01
    1.04358288e+00    3.70565035e+01
    1.04379954e+00    3.70564232e+01
    1.04401625e+00    3.70563431e+01
    1.04423300e+00    3.70562629e+01
    1.04444980e+00    3.70561828e+01
    1.04466664e+00    3.70561027e+01
    1.04488353e+00    3.70560227e+01
    1.04510046e+00    3.70559426e+01
    1.04531744e+00    3.70558627e+01
    1.04553446e+00    3.70557827e+01
    1.04575153e+00    3.70557028e+01
    1.04596865e+00    3.70556229e+01
    1.04618580e+00    3.70555431e+01
    1.04640301e+00    3.70554633e+01
    1.04662025e+00    3.70553835e+01
    1.04683755e+00    3.70553037e+01
    1.04705489e+00    3.70552240e+01
    1.04727227e+00    3.70551444e+01
    1.04748970e+00    3.70550647e+01
    1.04770717e+00    3.70549851e+01
    1.04792469e+00    3.70549055e+01
    1.04814225e+00    3.70548260e+01
    1.04835986e+00    3.70547465e+01
    1.04857752e+00    3.70546670e+01
    1.04879522e+00    3.70545875e+01
    1.04901296e+00    3.70545081e+01
    1.04923075e+00    3.70544288e+01
    1.04944859e+00    3.70543494e+01
    1.04966647e+00    3.70542701e+01
    1.04988439e+00    3.70541908e+01
    1.05010236e+00    3.70541116e+01
    1.05032038e+00    3.70540324e+01
    1.05053844e+00    3.70539532e+01
    1.05075655e+00    3.70538740e+01
    1.05097470e+00    3.70537949e+01
    1.05119290e+00    3.70537159e+01
    1.05141114e+00    3.70536368e+01
    1.05162943e+00    3.70535578e+01
    1.05184776e+00    3.70534788e+01
    1.05206614e+00    3.70533999e+01
    1.05228456e+00    3.70533210e+01
    1.05250303e+00    3.70532421e+01
    1.05272155e+00    3.70531632e+01
    1.05294011e+00    3.70530844e+01
    1.05315871e+00    3.70530056e+01
    1.05337736e+00    3.70529269e+01
    1.05359606e+00    3.70528482e+01
    1.05381480e+00    3.70527695e+01
    1.05403359e+00    3.70526909e+01
    1.05425242e+00    3.70526122e+01
    1.05447130e+00    3.70525337e+01
    1.05469022e+00    3.70524551e+01
    1.05490919e+00    3.70523766e+01
    1.05512820e+00    3.70522981e+01
    1.05534726e+00    3.70522197e+01
    1.05556637e+00    3.70521413e+01
    1.05578552e+00    3.70520629e+01
    1.05600471e+00    3.70519845e+01
    1.05622395e+00    3.70519062e+01
    1.05644324e+00    3.70518279e+01
