# RvB, Thu Jun 26 16:41:54 2025
#
# Atmospheric refraction angle calculation using 2-layer Cassini approximation with parameters: 
# Tobs =      14.41 [deg C] observatory ambient temperature
# Pobs =     744.70 [hPa] observatory ambient pressure
# PWV =      744.70 [mm] Precipitable Water Vapor column
# h0w =     2000.00 [m] assumed height of moist air layer
# z =         51.93 [deg] zenith angle
#
#       wavelength             angle
#         [micron]          [arcsec]
    1.00010340e+00    5.29766186e+01
    1.00031103e+00    5.29764936e+01
    1.00051871e+00    5.29763686e+01
    1.00072643e+00    5.29762437e+01
    1.00093420e+00    5.29761189e+01
    1.00114201e+00    5.29759940e+01
    1.00134986e+00    5.29758693e+01
    1.00155775e+00    5.29757446e+01
    1.00176569e+00    5.29756199e+01
    1.00197367e+00    5.29754954e+01
    1.00218169e+00    5.29753709e+01
    1.00238976e+00    5.29752464e+01
    1.00259787e+00    5.29751219e+01
    1.00280603e+00    5.29749976e+01
    1.00301422e+00    5.29748732e+01
    1.00322246e+00    5.29747489e+01
    1.00343075e+00    5.29746247e+01
    1.00363907e+00    5.29745005e+01
    1.00384744e+00    5.29743764e+01
    1.00405585e+00    5.29742524e+01
    1.00426431e+00    5.29741283e+01
    1.00447281e+00    5.29740044e+01
    1.00468135e+00    5.29738805e+01
    1.00488994e+00    5.29737566e+01
    1.00509857e+00    5.29736328e+01
    1.00530724e+00    5.29735091e+01
    1.00551596e+00    5.29733853e+01
    1.00572472e+00    5.29732617e+01
    1.00593352e+00    5.29731381e+01
    1.00614236e+00    5.29730146e+01
    1.00635125e+00    5.29728911e+01
    1.00656019e+00    5.29727676e+01
    1.00676916e+00    5.29726442e+01
    1.00697818e+00    5.29725209e+01
    1.00718725e+00    5.29723976e+01
    1.00739635e+00    5.29722744e+01
    1.00760550e+00    5.29721512e+01
    1.00781469e+00    5.29720281e+01
    1.00802393e+00    5.29719050e+01
    1.00823321e+00    5.29717820e+01
    1.00844253e+00    5.29716590e+01
    1.00865190e+00    5.29715361e+01
    1.00886131e+00    5.29714132e+01
    1.00907077e+00    5.29712904e+01
    1.00928026e+00    5.29711676e+01
    1.00948980e+00    5.29710449e+01
    1.00969939e+00    5.29709223e+01
    1.00990902e+00    5.29707996e+01
    1.01011869e+00    5.29706771e+01
    1.01032840e+00    5.29705546e+01
    1.01053816e+00    5.29704321e+01
    1.01074796e+00    5.29703097e+01
    1.01095781e+00    5.29701873e+01
    1.01116770e+00    5.29700650e+01
