# RvB, Thu Jun 26 16:41:54 2025
#
# Atmospheric refraction angle calculation using 2-layer Cassini approximation with parameters: 
# Tobs =      14.41 [deg C] observatory ambient temperature
# Pobs =     744.70 [hPa] observatory ambient pressure
# PWV =      744.70 [mm] Precipitable Water Vapor column
# h0w =     2000.00 [m] assumed height of moist air layer
# z =         45.82 [deg] zenith angle
#
#       wavelength             angle
#         [micron]          [arcsec]
    1.00010340e+00    4.27377564e+01
    1.00031103e+00    4.27376557e+01
    1.00051871e+00    4.27375550e+01
    1.00072643e+00    4.27374543e+01
    1.00093420e+00    4.27373537e+01
    1.00114201e+00    4.27372531e+01
    1.00134986e+00    4.27371526e+01
    1.00155775e+00    4.27370521e+01
    1.00176569e+00    4.27369516e+01
    1.00197367e+00    4.27368512e+01
    1.00218169e+00    4.27367509e+01
    1.00238976e+00    4.27366505e+01
    1.00259787e+00    4.27365503e+01
    1.00280603e+00    4.27364500e+01
    1.00301422e+00    4.27363498e+01
    1.00322246e+00    4.27362497e+01
    1.00343075e+00    4.27361496e+01
    1.00363907e+00    4.27360495e+01
    1.00384744e+00    4.27359495e+01
    1.00405585e+00    4.27358495e+01
    1.00426431e+00    4.27357495e+01
    1.00447281e+00    4.27356496e+01
    1.00468135e+00    4.27355498e+01
    1.00488994e+00    4.27354500e+01
    1.00509857e+00    4.27353502e+01
    1.00530724e+00    4.27352504e+01
    1.00551596e+00    4.27351507e+01
    1.00572472e+00    4.27350511e+01
    1.00593352e+00    4.27349515e+01
    1.00614236e+00    4.27348519e+01
    1.00635125e+00    4.27347524e+01
    1.00656019e+00    4.27346529e+01
    1.00676916e+00    4.27345535e+01
    1.00697818e+00    4.27344541e+01
    1.00718725e+00    4.27343547e+01
    1.00739635e+00    4.27342554e+01
    1.00760550e+00    4.27341561e+01
    1.00781469e+00    4.27340569e+01
    1.00802393e+00    4.27339577e+01
    1.00823321e+00    4.27338586e+01
    1.00844253e+00    4.27337595e+01
    1.00865190e+00    4.27336604e+01
    1.00886131e+00    4.27335614e+01
    1.00907077e+00    4.27334624e+01
    1.00928026e+00    4.27333635e+01
    1.00948980e+00    4.27332646e+01
    1.00969939e+00    4.27331657e+01
    1.00990902e+00    4.27330669e+01
    1.01011869e+00    4.27329681e+01
    1.01032840e+00    4.27328694e+01
    1.01053816e+00    4.27327707e+01
    1.01074796e+00    4.27326721e+01
    1.01095781e+00    4.27325735e+01
    1.01116770e+00    4.27324749e+01
    1.01137763e+00    4.27323764e+01
    1.01158761e+00    4.27322779e+01
    1.01179763e+00    4.27321795e+01
    1.01200769e+00    4.27320811e+01
    1.01221780e+00    4.27319827e+01
    1.01242795e+00    4.27318844e+01
    1.01263814e+00    4.27317861e+01
    1.01284838e+00    4.27316879e+01
    1.01305866e+00    4.27315897e+01
    1.01326899e+00    4.27314916e+01
    1.01347936e+00    4.27313935e+01
    1.01368977e+00    4.27312954e+01
    1.01390022e+00    4.27311974e+01
    1.01411072e+00    4.27310994e+01
    1.01432127e+00    4.27310014e+01
    1.01453186e+00    4.27309035e+01
    1.01474249e+00    4.27308057e+01
    1.01495316e+00    4.27307079e+01
    1.01516388e+00    4.27306101e+01
    1.01537464e+00    4.27305124e+01
    1.01558545e+00    4.27304147e+01
    1.01579630e+00    4.27303170e+01
    1.01600719e+00    4.27302194e+01
    1.01621813e+00    4.27301218e+01
    1.01642911e+00    4.27300243e+01
    1.01664014e+00    4.27299268e+01
    1.01685121e+00    4.27298294e+01
    1.01706232e+00    4.27297320e+01
    1.01727347e+00    4.27296346e+01
    1.01748467e+00    4.27295373e+01
    1.01769592e+00    4.27294400e+01
    1.01790721e+00    4.27293427e+01
    1.01811854e+00    4.27292455e+01
    1.01832991e+00    4.27291484e+01
    1.01854133e+00    4.27290513e+01
    1.01875280e+00    4.27289542e+01
    1.01896431e+00    4.27288571e+01
    1.01917586e+00    4.27287601e+01
    1.01938745e+00    4.27286632e+01
    1.01959909e+00    4.27285663e+01
    1.01981077e+00    4.27284694e+01
    1.02002250e+00    4.27283726e+01
    1.02023427e+00    4.27282758e+01
    1.02044609e+00    4.27281790e+01
    1.02065795e+00    4.27280823e+01
    1.02086985e+00    4.27279856e+01
    1.02108180e+00    4.27278890e+01
    1.02129379e+00    4.27277924e+01
    1.02150582e+00    4.27276959e+01
    1.02171790e+00    4.27275994e+01
    1.02193002e+00    4.27275029e+01
    1.02214219e+00    4.27274065e+01
    1.02235440e+00    4.27273101e+01
