# RvB, Thu Jun 26 16:41:54 2025
#
# Atmospheric refraction angle calculation using 2-layer Cassini approximation with parameters: 
# Tobs =      14.41 [deg C] observatory ambient temperature
# Pobs =     744.70 [hPa] observatory ambient pressure
# PWV =      744.70 [mm] Precipitable Water Vapor column
# h0w =     2000.00 [m] assumed height of moist air layer
# z =         53.97 [deg] zenith angle
#
#       wavelength             angle
#         [micron]          [arcsec]
    1.00010340e+00    5.70263981e+01
    1.00031103e+00    5.70262637e+01
    1.00051871e+00    5.70261292e+01
    1.00072643e+00    5.70259948e+01
    1.00093420e+00    5.70258604e+01
    1.00114201e+00    5.70257261e+01
    1.00134986e+00    5.70255919e+01
    1.00155775e+00    5.70254577e+01
    1.00176569e+00    5.70253235e+01
    1.00197367e+00    5.70251895e+01
    1.00218169e+00    5.70250555e+01
    1.00238976e+00    5.70249215e+01
    1.00259787e+00    5.70247876e+01
    1.00280603e+00    5.70246538e+01
    1.00301422e+00    5.70245200e+01
    1.00322246e+00    5.70243863e+01
    1.00343075e+00    5.70242526e+01
    1.00363907e+00    5.70241190e+01
    1.00384744e+00    5.70239854e+01
    1.00405585e+00    5.70238519e+01
    1.00426431e+00    5.70237184e+01
    1.00447281e+00    5.70235851e+01
    1.00468135e+00    5.70234517e+01
    1.00488994e+00    5.70233184e+01
    1.00509857e+00    5.70231852e+01
    1.00530724e+00    5.70230520e+01
    1.00551596e+00    5.70229189e+01
    1.00572472e+00    5.70227859e+01
    1.00593352e+00    5.70226529e+01
    1.00614236e+00    5.70225199e+01
    1.00635125e+00    5.70223870e+01
    1.00656019e+00    5.70222542e+01
    1.00676916e+00    5.70221214e+01
    1.00697818e+00    5.70219887e+01
    1.00718725e+00    5.70218560e+01
    1.00739635e+00    5.70217234e+01
    1.00760550e+00    5.70215909e+01
    1.00781469e+00    5.70214584e+01
    1.00802393e+00    5.70213259e+01
    1.00823321e+00    5.70211936e+01
    1.00844253e+00    5.70210612e+01
    1.00865190e+00    5.70209289e+01
    1.00886131e+00    5.70207967e+01
    1.00907077e+00    5.70206646e+01
    1.00928026e+00    5.70205324e+01
