# RvB, Thu Jun 26 16:41:55 2025
#
# Atmospheric refraction angle calculation using 2-layer Cassini approximation with parameters: 
# Tobs =      14.41 [deg C] observatory ambient temperature
# Pobs =     744.70 [hPa] observatory ambient pressure
# PWV =      744.70 [mm] Precipitable Water Vapor column
# h0w =     2000.00 [m] assumed height of moist air layer
# z =         51.93 [deg] zenith angle
#
#       wavelength             angle
#         [micron]          [arcsec]
    1.00010340e+00    5.29755880e+01
    1.00031103e+00    5.29754630e+01
    1.00051871e+00    5.29753380e+01
    1.00072643e+00    5.29752131e+01
    1.00093420e+00    5.29750882e+01
    1.00114201e+00    5.29749634e+01
    1.00134986e+00    5.29748386e+01
    1.00155775e+00    5.29747139e+01
    1.00176569e+00    5.29745892e+01
    1.00197367e+00    5.29744647e+01
    1.00218169e+00    5.29743401e+01
    1.00238976e+00    5.29742156e+01
    1.00259787e+00    5.29740912e+01
    1.00280603e+00    5.29739668e+01
    1.00301422e+00    5.29738425e+01
    1.00322246e+00    5.29737182e+01
    1.00343075e+00    5.29735939e+01
    1.00363907e+00    5.29734697e+01
    1.00384744e+00    5.29733456e+01
    1.00405585e+00    5.29732215e+01
    1.00426431e+00    5.29730975e+01
    1.00447281e+00    5.29729735e+01
    1.00468135e+00    5.29728496e+01
    1.00488994e+00    5.29727257e+01
    1.00509857e+00    5.29726019e+01
    1.00530724e+00    5.29724781e+01
    1.00551596e+00    5.29723544e+01
    1.00572472e+00    5.29722308e+01
    1.00593352e+00    5.29721072e+01
    1.00614236e+00    5.29719836e+01
    1.00635125e+00    5.29718601e+01
    1.00656019e+00    5.29717366e+01
    1.00676916e+00    5.29716132e+01
    1.00697818e+00    5.29714899e+01
    1.00718725e+00    5.29713666e+01
    1.00739635e+00    5.29712433e+01
    1.00760550e+00    5.29711201e+01
    1.00781469e+00    5.29709970e+01
    1.00802393e+00    5.29708739e+01
    1.00823321e+00    5.29707509e+01
    1.00844253e+00    5.29706279e+01
    1.00865190e+00    5.29705049e+01
    1.00886131e+00    5.29703820e+01
    1.00907077e+00    5.29702592e+01
    1.00928026e+00    5.29701364e+01
    1.00948980e+00    5.29700137e+01
    1.00969939e+00    5.29698911e+01
    1.00990902e+00    5.29697684e+01
    1.01011869e+00    5.29696459e+01
    1.01032840e+00    5.29695233e+01
    1.01053816e+00    5.29694009e+01
    1.01074796e+00    5.29692784e+01
    1.01095781e+00    5.29691561e+01
    1.01116770e+00    5.29690338e+01
    1.01137763e+00    5.29689115e+01
    1.01158761e+00    5.29687893e+01
    1.01179763e+00    5.29686671e+01
    1.01200769e+00    5.29685450e+01
    1.01221780e+00    5.29684230e+01
    1.01242795e+00    5.29683010e+01
    1.01263814e+00    5.29681790e+01
    1.01284838e+00    5.29680571e+01
    1.01305866e+00    5.29679352e+01
    1.01326899e+00    5.29678134e+01
    1.01347936e+00    5.29676917e+01
    1.01368977e+00    5.29675700e+01
    1.01390022e+00    5.29674483e+01
    1.01411072e+00    5.29673267e+01
    1.01432127e+00    5.29672052e+01
    1.01453186e+00    5.29670837e+01
    1.01474249e+00    5.29669622e+01
    1.01495316e+00    5.29668409e+01
    1.01516388e+00    5.29667195e+01
    1.01537464e+00    5.29665982e+01
    1.01558545e+00    5.29664770e+01
    1.01579630e+00    5.29663558e+01
    1.01600719e+00    5.29662347e+01
    1.01621813e+00    5.29661136e+01
    1.01642911e+00    5.29659925e+01
    1.01664014e+00    5.29658715e+01
    1.01685121e+00    5.29657506e+01
    1.01706232e+00    5.29656297e+01
    1.01727347e+00    5.29655089e+01
    1.01748467e+00    5.29653881e+01
    1.01769592e+00    5.29652674e+01
    1.01790721e+00    5.29651467e+01
    1.01811854e+00    5.29650261e+01
    1.01832991e+00    5.29649055e+01
    1.01854133e+00    5.29647850e+01
    1.01875280e+00    5.29646645e+01
    1.01896431e+00    5.29645441e+01
    1.01917586e+00    5.29644237e+01
    1.01938745e+00    5.29643034e+01
    1.01959909e+00    5.29641831e+01
    1.01981077e+00    5.29640629e+01
    1.02002250e+00    5.29639427e+01
    1.02023427e+00    5.29638226e+01
    1.02044609e+00    5.29637025e+01
    1.02065795e+00    5.29635825e+01
    1.02086985e+00    5.29634625e+01
    1.02108180e+00    5.29633426e+01
    1.02129379e+00    5.29632227e+01
    1.02150582e+00    5.29631029e+01
    1.02171790e+00    5.29629831e+01
    1.02193002e+00    5.29628634e+01
    1.02214219e+00    5.29627437e+01
    1.02235440e+00    5.29626241e+01
    1.02256666e+00    5.29625046e+01
    1.02277896e+00    5.29623850e+01
    1.02299130e+00    5.29622656e+01
    1.02320369e+00    5.29621462e+01
    1.02341612e+00    5.29620268e+01
    1.02362860e+00    5.29619075e+01
    1.02384112e+00    5.29617882e+01
    1.02405368e+00    5.29616690e+01
    1.02426629e+00    5.29615498e+01
    1.02447894e+00    5.29614307e+01
    1.02469164e+00    5.29613116e+01
    1.02490438e+00    5.29611926e+01
    1.02511716e+00    5.29610737e+01
    1.02532999e+00    5.29609547e+01
    1.02554286e+00    5.29608359e+01
    1.02575578e+00    5.29607171e+01
    1.02596874e+00    5.29605983e+01
    1.02618175e+00    5.29604796e+01
    1.02639480e+00    5.29603609e+01
    1.02660789e+00    5.29602423e+01
    1.02682103e+00    5.29601237e+01
    1.02703421e+00    5.29600052e+01
    1.02724744e+00    5.29598867e+01
    1.02746071e+00    5.29597683e+01
    1.02767402e+00    5.29596500e+01
    1.02788738e+00    5.29595317e+01
    1.02810079e+00    5.29594134e+01
    1.02831424e+00    5.29592952e+01
    1.02852773e+00    5.29591770e+01
    1.02874127e+00    5.29590589e+01
    1.02895485e+00    5.29589408e+01
    1.02916847e+00    5.29588228e+01
    1.02938214e+00    5.29587048e+01
    1.02959586e+00    5.29585869e+01
    1.02980962e+00    5.29584690e+01
    1.03002342e+00    5.29583512e+01
    1.03023727e+00    5.29582334e+01
    1.03045116e+00    5.29581157e+01
    1.03066509e+00    5.29579980e+01
    1.03087907e+00    5.29578804e+01
    1.03109310e+00    5.29577628e+01
    1.03130717e+00    5.29576453e+01
    1.03152128e+00    5.29575278e+01
    1.03173544e+00    5.29574104e+01
    1.03194964e+00    5.29572930e+01
    1.03216389e+00    5.29571757e+01
    1.03237818e+00    5.29570584e+01
    1.03259252e+00    5.29569412e+01
    1.03280690e+00    5.29568240e+01
    1.03302133e+00    5.29567069e+01
    1.03323580e+00    5.29565898e+01
    1.03345031e+00    5.29564728e+01
    1.03366487e+00    5.29563558e+01
    1.03387947e+00    5.29562389e+01
    1.03409412e+00    5.29561220e+01
    1.03430881e+00    5.29560051e+01
    1.03452355e+00    5.29558884e+01
    1.03473833e+00    5.29557716e+01
    1.03495316e+00    5.29556549e+01
    1.03516803e+00    5.29555383e+01
    1.03538294e+00    5.29554217e+01
    1.03559790e+00    5.29553052e+01
    1.03581291e+00    5.29551887e+01
    1.03602796e+00    5.29550722e+01
    1.03624305e+00    5.29549558e+01
    1.03645819e+00    5.29548395e+01
    1.03667337e+00    5.29547232e+01
    1.03688860e+00    5.29546070e+01
    1.03710388e+00    5.29544908e+01
    1.03731919e+00    5.29543746e+01
    1.03753456e+00    5.29542585e+01
    1.03774996e+00    5.29541425e+01
    1.03796541e+00    5.29540265e+01
