# RvB, Thu Jun 26 16:41:55 2025
#
# Atmospheric refraction angle calculation using 2-layer Cassini approximation with parameters: 
# Tobs =      14.41 [deg C] observatory ambient temperature
# Pobs =     744.70 [hPa] observatory ambient pressure
# PWV =      744.70 [mm] Precipitable Water Vapor column
# h0w =     2000.00 [m] assumed height of moist air layer
# z =         47.86 [deg] zenith angle
#
#       wavelength             angle
#         [micron]          [arcsec]
    1.00010340e+00    4.58726950e+01
    1.00031103e+00    4.58725868e+01
    1.00051871e+00    4.58724785e+01
    1.00072643e+00    4.58723703e+01
    1.00093420e+00    4.58722621e+01
    1.00114201e+00    4.58721540e+01
    1.00134986e+00    4.58720459e+01
    1.00155775e+00    4.58719379e+01
    1.00176569e+00    4.58718298e+01
    1.00197367e+00    4.58717219e+01
    1.00218169e+00    4.58716141e+01
    1.00238976e+00    4.58715062e+01
    1.00259787e+00    4.58713984e+01
    1.00280603e+00    4.58712906e+01
    1.00301422e+00    4.58711829e+01
    1.00322246e+00    4.58710752e+01
    1.00343075e+00    4.58709676e+01
    1.00363907e+00    4.58708600e+01
    1.00384744e+00    4.58707525e+01
    1.00405585e+00    4.58706450e+01
    1.00426431e+00    4.58705375e+01
    1.00447281e+00    4.58704301e+01
    1.00468135e+00    4.58703228e+01
    1.00488994e+00    4.58702155e+01
    1.00509857e+00    4.58701082e+01
    1.00530724e+00    4.58700010e+01
    1.00551596e+00    4.58698938e+01
    1.00572472e+00    4.58697867e+01
    1.00593352e+00    4.58696796e+01
    1.00614236e+00    4.58695726e+01
    1.00635125e+00    4.58694656e+01
    1.00656019e+00    4.58693586e+01
    1.00676916e+00    4.58692517e+01
    1.00697818e+00    4.58691449e+01
    1.00718725e+00    4.58690380e+01
    1.00739635e+00    4.58689313e+01
    1.00760550e+00    4.58688246e+01
    1.00781469e+00    4.58687179e+01
    1.00802393e+00    4.58686112e+01
    1.00823321e+00    4.58685047e+01
    1.00844253e+00    4.58683981e+01
    1.00865190e+00    4.58682916e+01
    1.00886131e+00    4.58681851e+01
    1.00907077e+00    4.58680787e+01
    1.00928026e+00    4.58679724e+01
    1.00948980e+00    4.58678660e+01
    1.00969939e+00    4.58677598e+01
    1.00990902e+00    4.58676536e+01
    1.01011869e+00    4.58675474e+01
    1.01032840e+00    4.58674412e+01
    1.01053816e+00    4.58673351e+01
    1.01074796e+00    4.58672291e+01
    1.01095781e+00    4.58671231e+01
    1.01116770e+00    4.58670171e+01
    1.01137763e+00    4.58669112e+01
    1.01158761e+00    4.58668053e+01
    1.01179763e+00    4.58666995e+01
    1.01200769e+00    4.58665937e+01
    1.01221780e+00    4.58664880e+01
    1.01242795e+00    4.58663823e+01
    1.01263814e+00    4.58662766e+01
    1.01284838e+00    4.58661710e+01
    1.01305866e+00    4.58660654e+01
    1.01326899e+00    4.58659599e+01
    1.01347936e+00    4.58658544e+01
