# RvB, Thu Jun 26 16:41:54 2025
#
# Atmospheric refraction angle calculation using 2-layer Cassini approximation with parameters: 
# Tobs =      14.41 [deg C] observatory ambient temperature
# Pobs =     744.70 [hPa] observatory ambient pressure
# PWV =      744.70 [mm] Precipitable Water Vapor column
# h0w =     2000.00 [m] assumed height of moist air layer
# z =         47.86 [deg] zenith angle
#
#       wavelength             angle
#         [micron]          [arcsec]
    1.00010340e+00    4.58816133e+01
    1.00031103e+00    4.58815051e+01
    1.00051871e+00    4.58813970e+01
    1.00072643e+00    4.58812889e+01
    1.00093420e+00    4.58811808e+01
    1.00114201e+00    4.58810728e+01
    1.00134986e+00    4.58809648e+01
    1.00155775e+00    4.58808569e+01
    1.00176569e+00    4.58807490e+01
    1.00197367e+00    4.58806412e+01
    1.00218169e+00    4.58805334e+01
    1.00238976e+00    4.58804256e+01
    1.00259787e+00    4.58803180e+01
    1.00280603e+00    4.58802103e+01
    1.00301422e+00    4.58801027e+01
    1.00322246e+00    4.58799951e+01
    1.00343075e+00    4.58798876e+01
    1.00363907e+00    4.58797801e+01
    1.00384744e+00    4.58796727e+01
    1.00405585e+00    4.58795653e+01
    1.00426431e+00    4.58794580e+01
    1.00447281e+00    4.58793507e+01
    1.00468135e+00    4.58792434e+01
    1.00488994e+00    4.58791362e+01
    1.00509857e+00    4.58790291e+01
    1.00530724e+00    4.58789220e+01
    1.00551596e+00    4.58788149e+01
    1.00572472e+00    4.58787079e+01
    1.00593352e+00    4.58786009e+01
    1.00614236e+00    4.58784940e+01
    1.00635125e+00    4.58783871e+01
    1.00656019e+00    4.58782803e+01
    1.00676916e+00    4.58781735e+01
    1.00697818e+00    4.58780667e+01
    1.00718725e+00    4.58779600e+01
    1.00739635e+00    4.58778534e+01
    1.00760550e+00    4.58777467e+01
    1.00781469e+00    4.58776402e+01
    1.00802393e+00    4.58775336e+01
    1.00823321e+00    4.58774272e+01
    1.00844253e+00    4.58773207e+01
    1.00865190e+00    4.58772143e+01
    1.00886131e+00    4.58771080e+01
    1.00907077e+00    4.58770017e+01
    1.00928026e+00    4.58768954e+01
    1.00948980e+00    4.58767892e+01
    1.00969939e+00    4.58766831e+01
    1.00990902e+00    4.58765769e+01
    1.01011869e+00    4.58764709e+01
    1.01032840e+00    4.58763648e+01
    1.01053816e+00    4.58762588e+01
    1.01074796e+00    4.58761529e+01
    1.01095781e+00    4.58760470e+01
    1.01116770e+00    4.58759411e+01
    1.01137763e+00    4.58758353e+01
    1.01158761e+00    4.58757296e+01
    1.01179763e+00    4.58756238e+01
    1.01200769e+00    4.58755182e+01
    1.01221780e+00    4.58754125e+01
    1.01242795e+00    4.58753070e+01
    1.01263814e+00    4.58752014e+01
    1.01284838e+00    4.58750959e+01
    1.01305866e+00    4.58749905e+01
    1.01326899e+00    4.58748850e+01
    1.01347936e+00    4.58747797e+01
    1.01368977e+00    4.58746744e+01
    1.01390022e+00    4.58745691e+01
    1.01411072e+00    4.58744639e+01
    1.01432127e+00    4.58743587e+01
    1.01453186e+00    4.58742535e+01
    1.01474249e+00    4.58741484e+01
    1.01495316e+00    4.58740434e+01
    1.01516388e+00    4.58739384e+01
    1.01537464e+00    4.58738334e+01
    1.01558545e+00    4.58737285e+01
    1.01579630e+00    4.58736236e+01
    1.01600719e+00    4.58735188e+01
    1.01621813e+00    4.58734140e+01
    1.01642911e+00    4.58733092e+01
    1.01664014e+00    4.58732045e+01
    1.01685121e+00    4.58730999e+01
    1.01706232e+00    4.58729953e+01
    1.01727347e+00    4.58728907e+01
    1.01748467e+00    4.58727862e+01
    1.01769592e+00    4.58726817e+01
    1.01790721e+00    4.58725772e+01
    1.01811854e+00    4.58724729e+01
    1.01832991e+00    4.58723685e+01
    1.01854133e+00    4.58722642e+01
    1.01875280e+00    4.58721599e+01
    1.01896431e+00    4.58720557e+01
    1.01917586e+00    4.58719515e+01
    1.01938745e+00    4.58718474e+01
    1.01959909e+00    4.58717433e+01
    1.01981077e+00    4.58716393e+01
    1.02002250e+00    4.58715353e+01
    1.02023427e+00    4.58714313e+01
    1.02044609e+00    4.58713274e+01
    1.02065795e+00    4.58712236e+01
    1.02086985e+00    4.58711197e+01
    1.02108180e+00    4.58710160e+01
    1.02129379e+00    4.58709122e+01
    1.02150582e+00    4.58708085e+01
    1.02171790e+00    4.58707049e+01
    1.02193002e+00    4.58706013e+01
    1.02214219e+00    4.58704977e+01
    1.02235440e+00    4.58703942e+01
    1.02256666e+00    4.58702907e+01
    1.02277896e+00    4.58701873e+01
    1.02299130e+00    4.58700839e+01
    1.02320369e+00    4.58699806e+01
    1.02341612e+00    4.58698773e+01
    1.02362860e+00    4.58697740e+01
    1.02384112e+00    4.58696708e+01
    1.02405368e+00    4.58695677e+01
    1.02426629e+00    4.58694645e+01
    1.02447894e+00    4.58693614e+01
    1.02469164e+00    4.58692584e+01
    1.02490438e+00    4.58691554e+01
    1.02511716e+00    4.58690524e+01
    1.02532999e+00    4.58689495e+01
    1.02554286e+00    4.58688467e+01
    1.02575578e+00    4.58687438e+01
    1.02596874e+00    4.58686411e+01
    1.02618175e+00    4.58685383e+01
    1.02639480e+00    4.58684356e+01
    1.02660789e+00    4.58683330e+01
    1.02682103e+00    4.58682304e+01
    1.02703421e+00    4.58681278e+01
    1.02724744e+00    4.58680253e+01
    1.02746071e+00    4.58679228e+01
    1.02767402e+00    4.58678204e+01
    1.02788738e+00    4.58677180e+01
    1.02810079e+00    4.58676157e+01
    1.02831424e+00    4.58675134e+01
    1.02852773e+00    4.58674111e+01
    1.02874127e+00    4.58673089e+01
    1.02895485e+00    4.58672067e+01
    1.02916847e+00    4.58671046e+01
    1.02938214e+00    4.58670025e+01
    1.02959586e+00    4.58669004e+01
    1.02980962e+00    4.58667984e+01
    1.03002342e+00    4.58666965e+01
    1.03023727e+00    4.58665946e+01
    1.03045116e+00    4.58664927e+01
    1.03066509e+00    4.58663908e+01
    1.03087907e+00    4.58662891e+01
    1.03109310e+00    4.58661873e+01
    1.03130717e+00    4.58660856e+01
    1.03152128e+00    4.58659840e+01
    1.03173544e+00    4.58658823e+01
    1.03194964e+00    4.58657808e+01
    1.03216389e+00    4.58656792e+01
    1.03237818e+00    4.58655777e+01
    1.03259252e+00    4.58654763e+01
    1.03280690e+00    4.58653749e+01
    1.03302133e+00    4.58652735e+01
    1.03323580e+00    4.58651722e+01
    1.03345031e+00    4.58650709e+01
    1.03366487e+00    4.58649697e+01
    1.03387947e+00    4.58648685e+01
    1.03409412e+00    4.58647674e+01
    1.03430881e+00    4.58646663e+01
    1.03452355e+00    4.58645652e+01
    1.03473833e+00    4.58644642e+01
    1.03495316e+00    4.58643632e+01
    1.03516803e+00    4.58642623e+01
    1.03538294e+00    4.58641614e+01
    1.03559790e+00    4.58640605e+01
    1.03581291e+00    4.58639597e+01
